Rank,Fragment SMILES,Score
106,*c1ccc(CN)c(OC)c1,0.552064061164856
107,*c1ccc2o[nH]c(=N)c2c1,0.5515598654747009
108,*C(=O)c1cccc2[nH]cnc12,0.5515478849411011
109,*N=c1[nH]c2ccc(C)nc2[nH]1,0.551287829875946
110,*c1cc2ccccc2[nH]c1=N,0.5510526299476624
111,*c1ccc(F)c(C)c1,0.550930917263031
112,*c1cc2cc(OC)ccc2[nH]1,0.5509119033813477
113,*c1[nH]nc2cc(C#N)ccc12,0.5507772564888
114,*c1ccc2ccc(=N)[nH]c2c1,0.550520658493042
115,*c1cc2n(c1)CCNC2=O,0.5504574179649353
116,*c1cccc(C#N)c1,0.5504236817359924
117,*c1c(=O)[nH]n2ccccc12,0.5504171252250671
118,*c1ccc(C(N)N)cc1,0.5502575635910034
119,*c1ccc(O)c(C(C)CC)c1,0.5502331256866455
120,*c1ccc2[nH][nH]c(=O)c2c1,0.55018150806427
121,*c1ccc(O)c(C)c1,0.549879252910614
122,*Cn1cnc(=N)c2[nH]cnc21,0.5491806864738464
123,*c1ccc2c(c1)NCCC2,0.5490301847457886
124,*c1cc(C#N)ccc1OC,0.5489435791969299
125,*c1cccc(C2=NCCN2)c1,0.5486745834350586
126,*c1cccc(O)c1C,0.5486096739768982
127,*c1ccc(Cl)c(C)c1,0.5485858917236328
128,*n1ccc2ncccc2c1=O,0.5484611392021179
129,*c1cc2c(=O)[nH]ccc2o1,0.5480702519416809
130,*c1cc(CO)ccc1Cl,0.5479544997215271
131,*n1cnc2c(=NC)[nH]cnc21,0.5479164719581604
132,*C(=O)c1cnn2cccnc12,0.5477132797241211
133,*c1ccc2cccc(C)c2n1,0.5476787090301514
134,*c1ccc(O)c(C(N)=O)c1,0.5476579666137695
135,*C(C)c1c[nH]c2ncccc12,0.5474714040756226
136,*C(=O)c1onc2ccccc12,0.5473613739013672
137,*c1c(O)[nH]c2ccccc12,0.5473517775535583
138,*c1c(C)cc(OC)c(C)c1C,0.5472928881645203
139,*c1ccc(OC)cc1C,0.5466042160987854
140,*c1ccc(OC)c(C)c1,0.5464947819709778
141,*c1ccc(C)c(F)c1,0.5463097095489502
142,*c1cccc(Cl)c1,0.5461859703063965
143,*NC1CCOc2ccccc21,0.5461828708648682
144,*c1cccc2o[nH]c(=O)c12,0.5461441874504089
145,*c1cc2cccc(OC)c2o1,0.5461336970329285
146,*Oc1ccc2c(c1)NCCC2,0.5461161732673645
147,*c1ccc(O)c(C(C)C)c1,0.5459777116775513
148,*c1ccccc1CN,0.5457648038864136
149,*c1cn(C)c2ccccc12,0.5457547307014465
150,*c1ccccc1O,0.545588493347168
151,*c1ccc(CNC)cc1,0.5454269647598267
152,*c1cccc(C)c1C,0.5452743768692017
153,*c1ccc(C(C)C)cc1,0.5448622107505798
154,*c1[nH]nc2[nH]c(=O)ccc12,0.544776201248169
155,*c1ccc(C)c(C)c1,0.5447251200675964
156,*C(=O)c1cc2ccccc2[nH]1,0.5447230339050293
157,*c1ccccc1C#N,0.5443837642669678
